epoch,samples,wer,wer_norm,cer,cer_norm
28,256,1.45703125,0.24283854166666657,2.4609375,0.1025390625000002
29,256,1.44140625,0.24023437499999997,2.26953125,0.09456380208333333
30,256,1.5390625,0.2565104166666666,2.65234375,0.11051432291666677
31,256,1.41796875,0.23632812499999975,2.390625,0.09960937500000008
32,256,1.40625,0.2343749999999997,2.2890625,0.09537760416666681
33,256,1.18359375,0.1972656249999998,1.87109375,0.07796223958333334
34,256,1.03125,0.17187500000000003,1.46484375,0.06103515624999988
35,256,0.9765625,0.16276041666666655,1.47265625,0.06136067708333329
36,256,0.921875,0.15364583333333331,1.39453125,0.05810546874999994
37,256,0.86328125,0.14388020833333348,1.28125,0.05338541666666663
38,256,1.0625,0.17708333333333307,1.5546875,0.06477864583333323
39,256,0.73046875,0.12174479166666685,1.015625,0.04231770833333334
40,256,0.62109375,0.10351562500000014,0.875,0.03645833333333335
41,256,0.62890625,0.10481770833333341,0.96484375,0.04020182291666666
42,256,0.65234375,0.1087239583333334,1.12890625,0.04703776041666666
43,256,0.5859375,0.09765625000000008,0.95703125,0.039876302083333315
44,256,0.55078125,0.09179687500000004,0.84375,0.03515625000000001
45,256,0.46484375,0.07747395833333336,0.64453125,0.026855468750000017
46,256,0.4140625,0.06901041666666663,0.60546875,0.025227864583333346
47,256,0.4375,0.07291666666666666,0.65625,0.027343750000000024
48,256,0.3671875,0.06119791666666658,0.53515625,0.022298177083333332
49,256,0.390625,0.06510416666666663,0.578125,0.024088541666666654
50,256,0.42578125,0.07096354166666666,0.65234375,0.027180989583333353
51,256,0.41015625,0.06835937499999996,0.66796875,0.027832031250000014
52,256,0.38671875,0.06445312499999997,0.6953125,0.02897135416666667
53,256,0.41015625,0.06835937499999996,0.6015625,0.02506510416666669
54,256,0.33203125,0.05533854166666664,0.4921875,0.020507812499999993
55,256,0.4140625,0.06901041666666666,0.640625,0.02669270833333333
56,256,0.41796875,0.06966145833333333,0.7109375,0.029622395833333346
57,256,0.42578125,0.07096354166666662,0.7734375,0.032226562499999986
58,256,0.375,0.062499999999999924,0.63671875,0.026529947916666675
59,256,0.39453125,0.0657552083333333,0.55859375,0.023274739583333346
60,256,0.54296875,0.09049479166666666,0.88671875,0.03694661458333333
61,256,0.42578125,0.0709635416666666,0.59375,0.024739583333333353
62,256,0.37890625,0.06315104166666659,0.5625,0.023437500000000014
63,256,0.8515625,0.14192708333333337,1.53515625,0.06396484374999993
