epoch,loss,val_loss
1,77.46948877361973,84.85762455720315
2,62.14214552046219,51.87222570090856
3,61.86059196143629,49.65624800621563
4,40.54752431988146,34.28881582392667
5,33.452599261996426,32.63613151903719
6,34.17040759230465,33.51246293866022
7,32.84670484327183,32.37829398916807
8,32.46243532872926,32.188043986202366
9,32.31671608584079,31.986817228349913
10,32.11540144980629,32.42659405903274
11,32.03779660409597,31.79493115819833
12,31.890925751078253,31.866417261528944
13,31.828716998555382,31.72787411239332
14,31.661517983088114,30.90691436813677
