epoch,samples,wer,wer_norm,cer,cer_norm
0,20,21.1,21.1,69.05,17.2625
1,20,1.0,1.0,4.3,1.075
2,20,1.0,1.0,3.8,0.95
3,20,1.0,1.0,3.7,0.925
4,20,1.0,1.0,3.75,0.9375
5,20,1.0,1.0,3.95,0.9875
6,20,2.2,2.2,6.9,1.725
7,20,2.65,2.65,8.0,2.0
8,20,3.3,3.3,10.45,2.6125
9,20,4.45,4.45,15.2,3.8
10,20,5.05,5.05,16.85,4.2125
11,20,4.55,4.55,16.15,4.0375
12,20,4.3,4.3,15.25,3.8125
13,20,3.4,3.4,12.05,3.0125
14,20,3.3,3.3,11.15,2.7875
15,20,2.3,2.3,7.85,1.9625
16,20,2.45,2.45,8.25,2.0625
17,20,2.2,2.2,7.45,1.8625
18,20,1.8,1.8,6.4,1.6
19,20,2.05,2.05,6.8,1.7
20,20,2.3,2.3,6.2,1.55
21,20,1.75,1.75,5.8,1.45
22,20,1.9,1.9,5.5,1.375
23,20,1.95,1.95,6.2,1.55
24,20,2.15,2.15,5.9,1.475
25,20,2.2,2.2,6.4,1.6
26,20,1.6,1.6,5.6,1.4
27,20,1.95,1.95,6.2,1.55
28,20,2.05,2.05,6.3,1.575
29,20,1.6,1.6,5.5,1.375
30,20,1.95,1.95,6.1,1.525
31,20,2.6,2.6,6.55,1.6375
32,20,1.7,1.7,4.6,1.15
33,20,2.55,2.55,6.3,1.575
34,20,2.45,2.45,5.35,1.3375
35,20,2.25,2.25,4.7,1.175
36,20,1.95,1.95,4.5,1.125
37,20,1.7,1.7,4.9,1.225
38,20,2.0,2.0,4.35,1.0875
39,20,2.0,2.0,4.3,1.075
40,20,2.0,2.0,4.15,1.0375
41,20,1.25,1.25,3.35,0.8375
42,20,2.0,2.0,3.7,0.925
43,20,1.7,1.7,3.45,0.8625
44,20,1.5,1.5,3.1,0.775
45,20,1.9,1.9,3.55,0.8875
46,20,1.5,1.5,3.7,0.925
47,20,0.6,0.6,2.5,0.625
48,20,1.85,1.85,3.6,0.9
49,20,2.0,2.0,3.7,0.925
50,20,0.9,0.9,3.1,0.775
51,20,1.85,1.85,3.5,0.875
