epoch,samples,wer,wer_norm,cer,cer_norm
0,6,1.3333333333333333,1.3333333333333333,34.833333333333336,5.805555555555556
1,6,1.6666666666666667,1.6666666666666667,29.666666666666668,4.944444444444445
2,6,1.1666666666666667,1.1666666666666667,23.166666666666668,3.8611111111111107
3,6,1.5,1.5,17.5,2.9166666666666665
4,6,1.8333333333333333,1.8333333333333333,9.833333333333334,1.6388888888888886
5,6,1.0,1.0,6.333333333333333,1.0555555555555556
6,6,1.0,1.0,6.333333333333333,1.0555555555555556
7,6,1.0,1.0,6.333333333333333,1.0555555555555556
8,6,1.0,1.0,6.333333333333333,1.0555555555555556
9,6,1.3333333333333333,1.3333333333333333,6.333333333333333,1.0555555555555556
10,6,1.3333333333333333,1.3333333333333333,6.333333333333333,1.0555555555555556
11,6,1.0,1.0,6.333333333333333,1.0555555555555556
12,6,1.0,1.0,6.333333333333333,1.0555555555555556
13,6,1.0,1.0,6.333333333333333,1.0555555555555556
14,6,1.0,1.0,6.333333333333333,1.0555555555555556
15,6,1.0,1.0,6.333333333333333,1.0555555555555556
16,6,1.0,1.0,6.333333333333333,1.0555555555555556
17,6,1.0,1.0,6.333333333333333,1.0555555555555556
18,6,1.0,1.0,6.333333333333333,1.0555555555555556
19,6,1.0,1.0,6.333333333333333,1.0555555555555556
20,6,1.0,1.0,6.333333333333333,1.0555555555555556
21,6,1.0,1.0,6.333333333333333,1.0555555555555556
22,6,1.0,1.0,6.333333333333333,1.0555555555555556
23,6,1.0,1.0,6.333333333333333,1.0555555555555556
24,6,1.0,1.0,6.333333333333333,1.0555555555555556
25,6,1.0,1.0,6.333333333333333,1.0555555555555556
26,6,1.0,1.0,6.333333333333333,1.0555555555555556
27,6,1.0,1.0,6.333333333333333,1.0555555555555556
28,6,1.0,1.0,6.333333333333333,1.0555555555555556
29,6,1.0,1.0,6.333333333333333,1.0555555555555556
30,6,1.0,1.0,6.333333333333333,1.0555555555555556
31,6,1.0,1.0,6.333333333333333,1.0555555555555556
32,6,1.0,1.0,6.333333333333333,1.0555555555555556
33,6,1.0,1.0,6.333333333333333,1.0555555555555556
34,6,1.0,1.0,6.333333333333333,1.0555555555555556
35,6,1.0,1.0,6.333333333333333,1.0555555555555556
36,6,1.0,1.0,6.333333333333333,1.0555555555555556
37,6,1.0,1.0,6.333333333333333,1.0555555555555556
38,6,1.0,1.0,6.333333333333333,1.0555555555555556
39,6,1.0,1.0,6.333333333333333,1.0555555555555556
40,6,1.0,1.0,6.333333333333333,1.0555555555555556
41,6,1.0,1.0,6.333333333333333,1.0555555555555556
42,6,1.0,1.0,6.333333333333333,1.0555555555555556
43,6,1.0,1.0,6.333333333333333,1.0555555555555556
44,6,1.0,1.0,6.333333333333333,1.0555555555555556
45,6,1.0,1.0,6.333333333333333,1.0555555555555556
46,6,1.0,1.0,6.333333333333333,1.0555555555555556
47,6,1.0,1.0,6.333333333333333,1.0555555555555556
