epoch,samples,wer,wer_norm,cer,cer_norm
0,256,8.4140625,1.40234375,19.4921875,0.8121744791666663
1,256,5.8984375,0.9830729166666672,22.32421875,0.9301757812500001
2,256,5.828125,0.9713541666666677,16.83984375,0.7016601562500008
3,256,5.13671875,0.8561197916666672,16.66015625,0.6941731770833339
4,256,5.11328125,0.8522135416666673,16.67578125,0.6948242187500008
5,256,5.8671875,0.9778645833333338,16.59765625,0.691569010416667
6,256,5.06640625,0.8444010416666667,14.46875,0.6028645833333333
7,256,5.05078125,0.8417968750000007,14.44140625,0.6017252604166671
