epoch,loss,val_loss
0,220.63641079989347,201.53561401367188
1,62.55116150595925,100.3970718383789
2,6.693596796555952,39.24485524495443
3,0.5355966924266382,19.524656454722088
4,-0.28698123314163904,12.676049868265787
5,-0.3846102329817685,9.33024549484253
6,-0.5116133148019965,7.884121735890706
7,-0.5712428363886747,6.579312642415364
8,-0.6315326311371543,5.830849011739095
9,-0.5735800835219297,5.213734706242879
10,-0.6411880227652463,4.670490701993306
11,-0.5611487532203848,4.529682795206706
12,-0.6478832472454418,4.287428339322408
13,-0.6421274000948126,4.080256164073944
14,-0.5933017703619871,3.64059050877889
15,-0.623772916468707,3.2418250242869058
16,-0.6418639746579257,3.076066493988037
17,-0.6387399326671254,3.0307571291923523
