epoch,samples,wer,wer_norm,cer,cer_norm
0,6,6.0,6.0,28.333333333333332,5.666666666666667
1,6,1.3333333333333333,1.3333333333333333,6.666666666666667,1.3333333333333333
2,6,1.0,1.0,5.666666666666667,1.133333333333333
3,6,1.0,1.0,5.666666666666667,1.133333333333333
4,6,1.0,1.0,5.666666666666667,1.133333333333333
5,6,1.0,1.0,5.666666666666667,1.133333333333333
6,6,1.0,1.0,5.666666666666667,1.133333333333333
7,6,1.0,1.0,5.666666666666667,1.133333333333333
8,6,1.0,1.0,5.666666666666667,1.133333333333333
9,6,1.0,1.0,5.666666666666667,1.133333333333333
10,6,1.0,1.0,5.666666666666667,1.133333333333333
11,6,1.0,1.0,5.666666666666667,1.133333333333333
12,6,1.0,1.0,5.666666666666667,1.133333333333333
13,6,1.0,1.0,5.666666666666667,1.133333333333333
14,6,1.0,1.0,5.666666666666667,1.133333333333333
15,6,1.0,1.0,5.666666666666667,1.133333333333333
16,6,1.0,1.0,5.666666666666667,1.133333333333333
