epoch,samples,wer,wer_norm,cer,cer_norm
0,256,11.7578125,1.959635416666669,17.90625,0.7460937499999997
1,256,8.41796875,1.4029947916666659,16.85546875,0.7023111979166662
2,256,7.67578125,1.2792968750000004,16.67578125,0.6948242187499998
3,256,5.94921875,0.9915364583333335,20.78515625,0.8660481770833334
4,256,5.95703125,0.9928385416666667,21.7734375,0.9072265625
5,256,5.9609375,0.9934895833333335,21.9296875,0.9137369791666667
6,256,5.9609375,0.9934895833333335,21.9296875,0.9137369791666667
7,256,5.9609375,0.9934895833333335,21.9296875,0.9137369791666667
8,256,5.94140625,0.9902343750000002,21.3515625,0.8896484375000003
9,256,5.91015625,0.9850260416666669,18.79296875,0.7830403645833343
