epoch,samples,wer,wer_norm,cer,cer_norm
0,20,3.9,3.9,20.4,4.08
1,20,1.35,1.35,4.8,0.96
2,20,1.6,1.6,5.0,1.0
3,20,1.7,1.7,4.85,0.97
4,20,2.3,2.3,5.75,1.15
5,20,3.1,3.1,7.7,1.5400000000000005
6,20,2.9,2.9,7.5,1.5
7,20,3.2,3.2,8.2,1.64
8,20,2.95,2.95,7.5,1.5
9,20,2.75,2.75,6.95,1.3900000000000001
10,20,3.95,3.95,10.25,2.05
11,20,3.1,3.1,7.6,1.5200000000000002
12,20,2.9,2.9,7.2,1.44
13,20,1.8,1.8,5.0,1.0000000000000002
14,20,1.7,1.7,4.9,0.9800000000000001
15,20,1.7,1.7,4.75,0.9500000000000002
16,20,1.6,1.6,4.8,0.96
17,20,1.7,1.7,5.05,1.01
18,20,1.7,1.7,4.9,0.9800000000000001
19,20,1.7,1.7,4.65,0.93
20,20,1.7,1.7,4.8,0.9600000000000002
21,20,1.7,1.7,4.9,0.9800000000000001
22,20,1.7,1.7,4.7,0.9400000000000002
23,20,1.7,1.7,4.45,0.8900000000000002
24,20,1.7,1.7,4.5,0.9000000000000004
25,20,1.7,1.7,4.5,0.9000000000000004
26,20,1.7,1.7,4.4,0.8800000000000004
27,20,1.7,1.7,4.45,0.8900000000000003
28,20,1.7,1.7,4.55,0.9100000000000004
29,20,1.7,1.7,4.5,0.9000000000000004
30,20,1.7,1.7,4.4,0.8800000000000004
31,20,1.7,1.7,4.5,0.9000000000000004
32,20,1.7,1.7,4.45,0.8900000000000003
33,20,1.55,1.55,4.2,0.8400000000000001
34,20,1.7,1.7,4.5,0.9000000000000004
35,20,1.55,1.55,4.65,0.93
36,20,1.75,1.75,4.7,0.9400000000000002
37,20,1.35,1.35,4.7,0.9400000000000001
38,20,1.55,1.55,4.15,0.8300000000000001
39,20,1.4,1.4,4.9,0.9800000000000001
40,20,1.3,1.3,4.75,0.95
41,20,1.15,1.15,4.7,0.9399999999999998
42,20,1.4,1.4,5.55,1.1099999999999999
43,20,1.1,1.1,4.75,0.9500000000000002
44,20,1.75,1.75,5.05,1.0100000000000002
45,20,1.4,1.4,5.15,1.0299999999999998
46,20,1.25,1.25,4.55,0.9100000000000001
47,20,2.5,2.5,5.75,1.15
48,20,1.0,1.0,4.7,0.9399999999999997
49,20,1.75,1.75,5.75,1.15
50,20,1.65,1.65,5.65,1.13
51,20,2.6,2.6,5.55,1.1099999999999999
52,20,2.9,2.9,5.9,1.18
53,20,2.65,2.65,6.55,1.3100000000000003
54,20,2.6,2.6,6.1,1.2199999999999998
55,20,1.95,1.95,4.5,0.8999999999999998
56,20,2.15,2.15,6.6,1.3200000000000003
57,20,2.25,2.25,5.45,1.0899999999999999
58,20,2.8,2.8,5.95,1.19
59,20,2.7,2.7,5.5,1.1
60,20,2.1,2.1,6.25,1.25
61,20,2.5,2.5,5.1,1.02
62,20,2.6,2.6,6.15,1.2300000000000002
63,20,1.7,1.7,5.75,1.15
64,20,3.0,3.0,6.2,1.2399999999999998
65,20,2.1,2.1,6.25,1.2500000000000002
66,20,2.9,2.9,5.45,1.09
67,20,2.9,2.9,6.0,1.1999999999999997
68,20,2.9,2.9,6.1,1.2199999999999998
69,20,2.65,2.65,6.6,1.3200000000000003
70,20,3.0,3.0,6.0,1.1999999999999997
71,20,2.7,2.7,6.25,1.2500000000000004
72,20,2.7,2.7,7.05,1.4100000000000004
73,20,2.8,2.8,5.45,1.09
74,20,2.9,2.9,5.6,1.1199999999999999
75,20,2.8,2.8,5.45,1.0899999999999999
76,20,2.7,2.7,6.65,1.33
77,20,2.75,2.75,5.45,1.09
78,20,2.7,2.7,5.45,1.0900000000000003
79,20,2.7,2.7,6.85,1.3699999999999999
80,20,3.0,3.0,6.2,1.2399999999999998
81,20,2.7,2.7,5.25,1.0500000000000003
82,20,2.6,2.6,7.1,1.4200000000000002
83,20,2.9,2.9,6.55,1.31
84,20,2.7,2.7,5.3,1.06
85,20,2.7,2.7,5.1,1.02
86,20,2.7,2.7,6.95,1.3900000000000001
87,20,2.7,2.7,6.0,1.1999999999999997
88,20,2.7,2.7,7.15,1.4300000000000002
89,20,2.9,2.9,7.15,1.4300000000000002
90,20,2.7,2.7,7.65,1.5300000000000002
91,20,2.85,2.85,8.15,1.6300000000000003
92,20,2.8,2.8,5.7,1.14
93,20,2.7,2.7,6.25,1.2499999999999996
94,20,2.85,2.85,7.3,1.46
95,20,2.7,2.7,7.25,1.4500000000000002
96,20,2.7,2.7,6.75,1.3499999999999996
97,20,2.7,2.7,6.25,1.2499999999999998
98,20,2.75,2.75,7.1,1.42
99,20,2.7,2.7,7.5,1.5000000000000002
