epoch,samples,wer,wer_norm,cer,cer_norm
0,20,1.0,1.0,28.85,7.2125
1,20,1.0,1.0,4.8,1.2
2,20,1.05,1.05,4.8,1.2
3,20,1.6,1.6,4.85,1.2125
4,20,1.6,1.6,4.65,1.1625
5,20,1.6,1.6,4.65,1.1625
6,20,1.7,1.7,4.75,1.1875
7,20,3.7,3.7,9.5,2.375
8,20,5.1,5.1,13.7,3.425
9,20,5.1,5.1,13.7,3.425
10,20,2.7,2.7,7.3,1.825
11,20,2.8,2.8,7.5,1.875
12,20,4.6,4.6,12.45,3.1125
13,20,1.7,1.7,5.05,1.2625
14,20,1.75,1.75,5.5,1.375
15,20,1.75,1.75,5.1,1.275
16,20,1.6,1.6,5.0,1.25
17,20,1.6,1.6,5.0,1.25
18,20,1.05,1.05,4.5,1.125
19,20,1.6,1.6,5.0,1.25
20,20,1.7,1.7,5.2,1.3
21,20,1.6,1.6,5.0,1.25
22,20,1.4,1.4,4.95,1.2375
23,20,2.5,2.5,6.3,1.575
24,20,2.55,2.55,6.4,1.6
