epoch,loss,val_loss
0,3.338547712061642,0.13923775741370653
1,0.0024022697988618944,0.0484251953119794
2,0.0009840530643890374,0.024725789614372485
3,0.00047024126169729636,0.01583139818974198
4,0.00038093463729611094,0.005438176230196237
5,0.00031047824806257086,0.003110268411531491
6,0.0002631640026604496,0.0024568183595026264
7,0.0002609989963857667,0.0011188814066551143
8,0.00025142095187239577,0.0006548218704539909
9,0.0002497986693528995,0.00047498130471889847
10,0.00024906991960633757,0.0003291845523068393
11,0.0002491821742981427,0.00026559953981616913
12,0.00024699898233060494,0.00025271617422157033
13,0.00024721068678989767,0.00024747446451675164
14,0.0002467350493731741,0.0002469059098638579
15,0.00024670266971785074,0.00024670436729922515
16,0.0002468193155870711,0.0002466844554082588
17,0.00024668092258073874,0.00024661732115198286
