epoch,samples,wer,wer_norm,cer,cer_norm
0,256,1.0,1.0,2.0,0.6666666666666656
1,256,1.0,1.0,2.0,0.6666666666666656
2,256,1.0,1.0,2.0,0.6666666666666656
3,256,1.0,1.0,2.0,0.6666666666666656
4,256,1.0,1.0,2.0,0.6666666666666656
5,256,1.0,1.0,2.0,0.6666666666666656
6,256,1.0,1.0,2.0,0.6666666666666656
7,256,1.0,1.0,2.0,0.6666666666666656
8,256,1.0,1.0,2.0,0.6666666666666656
9,256,1.0,1.0,2.0,0.6666666666666656
10,256,1.0,1.0,2.0,0.6666666666666656
11,256,1.0,1.0,2.0,0.6666666666666656
12,256,1.0,1.0,2.0,0.6666666666666656
13,256,1.0,1.0,2.0,0.6666666666666656
14,256,1.0,1.0,2.0,0.6666666666666656
15,256,1.0,1.0,2.0,0.6666666666666656
16,256,1.0,1.0,2.0,0.6666666666666656
17,256,1.0,1.0,2.0,0.6666666666666656
