epoch,samples,wer,wer_norm,cer,cer_norm
0,20,1.0,1.0,40.55,10.1375
1,20,1.0,1.0,41.1,10.275
2,20,1.0,1.0,44.65,11.1625
3,20,1.0,1.0,44.6,11.15
4,20,1.0,1.0,45.2,11.3
5,20,1.0,1.0,45.05,11.2625
6,20,1.0,1.0,44.45,11.1125
7,20,1.0,1.0,45.1,11.275
8,20,1.0,1.0,44.2,11.05
9,20,1.0,1.0,45.05,11.2625
10,20,1.0,1.0,45.1,11.275
11,20,1.0,1.0,44.3,11.075
12,20,1.0,1.0,44.2,11.05
13,20,1.0,1.0,44.9,11.225
14,20,1.0,1.0,45.2,11.3
15,20,1.0,1.0,43.8,10.95
16,20,1.0,1.0,44.95,11.2375
17,20,1.0,1.0,44.0,11.0
18,20,1.0,1.0,44.2,11.05
19,20,1.0,1.0,44.65,11.1625
20,20,1.0,1.0,43.5,10.875
21,20,1.0,1.0,44.55,11.1375
22,20,1.0,1.0,43.6,10.9
23,20,1.0,1.0,44.6,11.15
24,20,1.0,1.0,45.15,11.2875
25,20,1.0,1.0,42.5,10.625
26,20,1.0,1.0,44.2,11.05
27,20,1.0,1.0,44.2,11.05
28,20,1.0,1.0,44.55,11.1375
29,20,1.0,1.0,44.2,11.05
30,20,1.0,1.0,43.4,10.85
31,20,1.0,1.0,44.7,11.175
32,20,1.0,1.0,44.45,11.1125
33,20,1.0,1.0,43.4,10.85
34,20,1.0,1.0,44.4,11.1
35,20,1.0,1.0,41.7,10.425
36,20,1.0,1.0,43.5,10.875
37,20,1.0,1.0,43.2,10.8
38,20,1.0,1.0,43.95,10.9875
39,20,1.0,1.0,44.4,11.1
40,20,1.0,1.0,44.2,11.05
41,20,1.0,1.0,42.4,10.6
42,20,1.0,1.0,44.35,11.0875
43,20,1.0,1.0,44.1,11.025
44,20,1.0,1.0,43.95,10.9875
45,20,1.0,1.0,44.1,11.025
46,20,1.0,1.0,43.35,10.8375
47,20,1.0,1.0,43.95,10.9875
48,20,1.0,1.0,43.8,10.95
49,20,1.0,1.0,42.3,10.575
50,20,1.0,1.0,43.4,10.85
51,20,1.0,1.0,39.0,9.75
52,20,1.0,1.0,42.95,10.7375
53,20,1.0,1.0,43.2,10.8
