epoch,samples,wer,wer_norm,cer,cer_norm
0,6,8.833333333333334,8.833333333333334,43.333333333333336,10.833333333333334
1,6,15.166666666666666,15.166666666666666,43.666666666666664,10.916666666666666
2,6,11.5,11.5,32.0,8.0
3,6,5.833333333333333,5.833333333333333,18.833333333333332,4.708333333333333
4,6,3.0,3.0,9.5,2.375
5,6,1.3333333333333333,1.3333333333333333,4.666666666666667,1.1666666666666667
6,6,1.3333333333333333,1.3333333333333333,4.666666666666667,1.1666666666666667
7,6,1.0,1.0,4.666666666666667,1.1666666666666667
8,6,1.0,1.0,4.666666666666667,1.1666666666666667
9,6,1.0,1.0,4.666666666666667,1.1666666666666667
10,6,1.0,1.0,4.666666666666667,1.1666666666666667
11,6,1.0,1.0,4.666666666666667,1.1666666666666667
